,customerid,churn_probability,Classification
1783,8380-PEFPE,1.0,High-risky
1784,5687-DKDTV,0.02,Non-risky
1785,1568-LJSZU,0.0,Non-risky
1786,7530-HDYDS,0.72,Risky
1787,7789-HKSBS,0.71,Risky
1788,7416-CKTEP,0.0,Non-risky
1789,2586-CWXVV,0.29,Non-risky
1790,3096-IZETN,1.0,High-risky
1791,2348-KCJLT,0.18,Non-risky
1792,8401-EMUWF,0.4,Non-risky
1793,4193-IBKSW,0.0,Non-risky
1794,5377-NDTOU,0.0,Non-risky
1795,5922-ABDVO,0.88,High-risky
1796,2474-LCNUE,0.66,Risky
1797,0839-QNXME,0.0,Non-risky
1798,3506-OVLKD,0.04,Non-risky
1799,9172-ANCRX,0.99,High-risky
1800,6650-VJONK,0.85,High-risky
1801,2178-PMGCJ,0.73,Risky
1802,7492-TAFJD,0.13,Non-risky
1803,2773-MADBQ,0.04,Non-risky
1804,6016-LVTJQ,0.0,Non-risky
1805,7860-KSUGX,0.0,Non-risky
1806,8966-KZXXA,0.02,Non-risky
1807,6910-HADCM,1.0,High-risky
1808,4816-LXZYW,0.98,High-risky
1809,9606-PBKBQ,0.99,High-risky
1810,5149-QYTTU,0.01,Non-risky
1811,2070-XYMFH,0.7,Risky
1812,2085-BOJKI,0.59,Risky
1813,0817-HSUSE,0.95,High-risky
1814,5442-PPTJY,0.0,Non-risky
1815,1927-QEWMY,0.0,Non-risky
1816,1663-MHLHE,0.22,Non-risky
1817,5663-QBGIS,0.19,Non-risky
1818,4450-MDZFX,0.21,Non-risky
1819,6701-DHKWQ,0.0,Non-risky
1820,7554-AKDQF,0.22,Non-risky
1821,3536-IQCTX,0.96,High-risky
1822,4911-BANWH,0.92,High-risky
1823,8496-EJAUI,0.99,High-risky
1824,0794-YVSGE,0.0,Non-risky
1825,5423-BHIXO,0.29,Non-risky
1826,6908-VVYHM,0.12,Non-risky
1827,2959-EEXWB,0.3,Non-risky
1828,1839-UMACK,0.02,Non-risky
1829,3030-YDNRM,1.0,High-risky
1830,7321-KKSDU,0.0,Non-risky
1831,3402-XRIUO,0.28,Non-risky
1832,3132-TVFDZ,0.59,Risky
1833,8286-AFUYI,0.94,High-risky
1834,8080-DDEMJ,0.99,High-risky
1835,8356-WUAOJ,0.97,High-risky
1836,6365-MTGZX,0.79,Risky
1837,1349-WXNGG,0.37,Non-risky
1838,8058-DMYRU,0.68,Risky
1839,9350-ZXYJC,0.04,Non-risky
1840,6990-YNRIO,0.04,Non-risky
1841,8958-JPTRR,0.0,Non-risky
1842,6959-GQEGV,0.54,Risky
1843,3173-WSSUE,0.0,Non-risky
1844,1265-HVPZB,0.2,Non-risky
1845,4115-UMJFQ,0.07,Non-risky
1846,7369-TRPFD,0.0,Non-risky
1847,1098-KFQEC,0.0,Non-risky
1848,7190-XHTWJ,0.0,Non-risky
1849,0621-TWIEM,0.86,High-risky
1850,3537-RYBHH,0.38,Non-risky
1851,2485-ITVKB,1.0,High-risky
1852,3669-OYSJI,0.88,High-risky
1853,1612-EOHDH,0.76,Risky
1854,6702-OHFWR,0.98,High-risky
1855,5296-BFCYD,0.0,Non-risky
1856,4510-PYUSH,0.71,Risky
1857,9359-JANWS,0.0,Non-risky
1858,7517-SAWMO,0.99,High-risky
1859,4143-HHPMK,0.51,Risky
1860,3279-DYZQM,0.0,Non-risky
1861,7054-LGEQW,0.57,Risky
1862,0523-VNGTF,0.1,Non-risky
1863,9575-IWCAZ,0.0,Non-risky
1864,7105-MXJLL,0.01,Non-risky
1865,7064-FRRSW,0.58,Risky
1866,7940-UQQUG,0.19,Non-risky
1867,0923-PNFUB,1.0,High-risky
1868,3961-SXAXY,0.91,High-risky
1869,7010-BRBUU,0.0,Non-risky
1870,3566-HJGPK,0.91,High-risky
1871,3062-ICYZQ,0.53,Risky
1872,9938-PRCVK,0.0,Non-risky
1873,0973-KYVNF,0.0,Non-risky
1874,5129-HHMZC,0.14,Non-risky
1875,9637-CDTKZ,0.01,Non-risky
1876,3946-JEWRQ,0.52,Risky
1877,7873-CVMAW,0.02,Non-risky
1878,0463-WZZKO,0.01,Non-risky
1879,3494-JCHRQ,1.0,High-risky
1880,6474-FVJLC,1.0,High-risky
1881,4524-QCSSM,0.54,Risky
1882,5832-EXGTT,0.31,Non-risky
1883,8840-DQLGN,0.43,Non-risky
1884,2039-JONDJ,0.05,Non-risky
1885,7217-JYHOQ,0.05,Non-risky
1886,6695-FRVEC,0.0,Non-risky
1887,4547-LYTDD,0.99,High-risky
1888,9894-QMIMJ,0.12,Non-risky
1889,8069-YQQAJ,0.72,Risky
1890,6770-XUAGN,0.8,High-risky
1891,4193-ORFCL,0.94,High-risky
1892,1636-NTNCO,0.93,High-risky
1893,3466-WAESX,0.62,Risky
1894,9281-PKKZE,0.59,Risky
1895,3638-VBZTA,0.11,Non-risky
1896,7459-IMVYU,0.27,Non-risky
1897,7776-QWNFX,0.78,Risky
1898,6689-TCZHQ,1.0,High-risky
1899,8563-OYMQY,0.94,High-risky
1900,0754-EEBDC,0.0,Non-risky
1901,5777-ZPQNC,0.01,Non-risky
1902,1951-IEYXM,0.0,Non-risky
1903,3318-NMQXL,1.0,High-risky
1904,3143-ILDAL,0.34,Non-risky
1905,1022-RKXDR,0.03,Non-risky
1906,2361-FJWNO,0.11,Non-risky
1907,2272-UOINI,0.82,High-risky
1908,8232-UTFOZ,0.0,Non-risky
1909,3750-YHRYO,0.0,Non-risky
1910,6637-KYRCV,0.87,High-risky
1911,5668-MEISB,0.0,Non-risky
1912,0129-QMPDR,0.0,Non-risky
1913,7188-CBBBA,0.36,Non-risky
1914,5356-CSVSQ,0.93,High-risky
1915,3221-CJMSG,0.4,Non-risky
1916,4720-VSTSI,0.95,High-risky
1917,3219-JQRSL,0.0,Non-risky
1918,2801-NISEI,0.28,Non-risky
1919,3946-MHCZW,0.93,High-risky
1920,4623-ZKHLY,0.0,Non-risky
1921,6732-VAILE,0.0,Non-risky
1922,8201-AAXCB,0.62,Risky
1923,7696-CFTAT,0.0,Non-risky
1924,1845-CSBRZ,0.71,Risky
1925,2123-VSCOT,0.01,Non-risky
1926,6651-AZVTJ,0.93,High-risky
1927,4566-GOLUK,0.87,High-risky
1928,2484-DGXPZ,0.01,Non-risky
1929,2018-QKYGT,1.0,High-risky
1930,2792-VPPET,0.03,Non-risky
1931,7409-JURKQ,0.25,Non-risky
1932,3247-MHJKM,0.98,High-risky
1933,1964-SVLEA,0.0,Non-risky
1934,4587-NUKOX,1.0,High-risky
1935,7297-DVYGA,0.0,Non-risky
1936,2239-CGBUZ,0.06,Non-risky
1937,0854-UYHZD,0.0,Non-risky
1938,7243-LCGGZ,0.95,High-risky
1939,8267-KFGYD,0.67,Risky
1940,4890-VMUAV,0.04,Non-risky
1941,9261-WDCAF,0.99,High-risky
1942,3764-MNMOI,0.0,Non-risky
1943,7442-YGZFK,0.96,High-risky
1944,0420-BWTPW,0.45,Non-risky
1945,8229-BUJHX,0.0,Non-risky
1946,7449-HVPIV,0.24,Non-risky
1947,5504-WSIUR,0.04,Non-risky
1948,8183-ONMXC,1.0,High-risky
1949,8466-PZBLH,0.1,Non-risky
1950,9614-RMGHA,0.42,Non-risky
1951,8735-IJJEG,0.72,Risky
1952,0564-MUUQK,0.25,Non-risky
1953,5054-IEXZT,1.0,High-risky
1954,5834-ASPWA,1.0,High-risky
1955,0701-RFGFI,0.84,High-risky
1956,0019-EFAEP,0.04,Non-risky
1957,5619-PTMIK,0.39,Non-risky
1958,3737-XBQDD,0.79,Risky
1959,5882-CMAZQ,0.24,Non-risky
1960,5846-QFDFI,0.77,Risky
1961,4445-KWOKW,0.13,Non-risky
1962,3511-APPBJ,0.4,Non-risky
1963,7967-HYCDE,1.0,High-risky
1964,2430-RRYUW,0.06,Non-risky
1965,3948-XHGNA,0.84,High-risky
1966,3723-BFBGR,0.11,Non-risky
1967,0565-IYCGT,0.32,Non-risky
1968,5447-WZAFP,0.25,Non-risky
1969,5110-CHOPY,0.05,Non-risky
1970,5445-UTODQ,1.0,High-risky
1971,4425-OWHWB,0.0,Non-risky
1972,7892-QVYKW,0.97,High-risky
1973,9675-ICXCT,0.0,Non-risky
1974,1024-VRZHF,0.99,High-risky
1975,4703-MQYKT,0.0,Non-risky
1976,9497-QCMMS,1.0,High-risky
1977,5692-ICXLW,0.99,High-risky
1978,0602-DDUML,0.04,Non-risky
1979,2208-MPXIO,0.0,Non-risky
1980,1960-UYCNN,1.0,High-risky
1981,0348-SDKOL,0.85,High-risky
1982,3190-FZATL,0.0,Non-risky
1983,7336-RLLRH,0.18,Non-risky
1984,4373-MAVJG,0.99,High-risky
1985,8901-HJXTF,0.51,Risky
1986,7710-JSYOA,0.08,Non-risky
1987,5419-KLXBN,0.84,High-risky
1988,3424-NMNBO,1.0,High-risky
1989,9885-MFVSU,0.01,Non-risky
1990,4514-GFCFI,1.0,High-risky
1991,0607-MVMGC,0.03,Non-risky
1992,3365-SAIGS,0.97,High-risky
1993,9828-AOQLM,0.91,High-risky
1994,8022-BECSI,0.0,Non-risky
1995,8000-REIQB,1.0,High-risky
1996,9993-LHIEB,0.01,Non-risky
1997,0266-CLZKZ,0.12,Non-risky
1998,7615-ESMYF,0.99,High-risky
1999,3858-VOBET,0.99,High-risky
2000,7020-OZKXZ,1.0,High-risky
2001,3977-QCRSL,0.0,Non-risky
2002,0017-DINOC,0.02,Non-risky
2003,1447-PJGGA,0.25,Non-risky
2004,8565-CLBZW,0.79,Risky
2005,9139-WQQDY,0.78,Risky
2006,0224-HJAPT,0.98,High-risky
2007,8086-OVPWV,1.0,High-risky
2008,9430-FRQOC,0.93,High-risky
2009,7639-OPLNG,0.0,Non-risky
2010,3074-GQWYX,1.0,High-risky
2011,1492-QGCLU,0.3,Non-risky
2012,6845-RGTYS,0.99,High-risky
2013,7328-OWMOM,0.0,Non-risky
2014,4418-LZMSV,0.47,Non-risky
2015,5155-AZQPB,0.11,Non-risky
2016,8861-HGGKB,1.0,High-risky
2017,1087-GRUYI,0.0,Non-risky
2018,7065-YUNRY,0.75,Risky
2019,7694-VLBWQ,0.85,High-risky
2020,2546-KZAAT,0.0,Non-risky
2021,0181-RITDD,0.02,Non-risky
2022,5989-PGKJB,1.0,High-risky
2023,4795-KTRTH,1.0,High-risky
2024,8272-ONJLV,0.64,Risky
2025,1488-PBLJN,0.0,Non-risky
2026,0308-GIQJT,0.6,Risky
2027,3778-FOAQW,0.0,Non-risky
2028,4452-ROHMO,0.0,Non-risky
2029,6481-OGDOO,0.09,Non-risky
2030,3090-LETTY,0.51,Risky
2031,5349-AZPEW,0.56,Risky
2032,3753-TSEMP,1.0,High-risky
2033,8305-VHZBZ,0.99,High-risky
2034,9720-JJJOR,0.13,Non-risky
2035,8100-HZZLJ,0.49,Non-risky
2036,8775-ERLNB,0.99,High-risky
2037,8309-IEYJD,1.0,High-risky
2038,9172-JITSM,0.98,High-risky
2039,6298-QDFNH,0.99,High-risky
2040,7398-HPYZQ,0.0,Non-risky
2041,3546-GHEAE,0.0,Non-risky
2042,7361-YPXFS,0.09,Non-risky
2043,6557-BZXLQ,1.0,High-risky
2044,2550-QHZGP,0.0,Non-risky
2045,7519-JTWQH,0.08,Non-risky
2046,2538-OIMXF,0.77,Risky
2047,8543-MSDMF,0.7,Risky
2048,9961-JBNMK,0.88,High-risky
2049,1170-SASML,0.32,Non-risky
2050,4872-JCVCA,0.0,Non-risky
2051,5346-BZCHP,0.0,Non-risky
2052,2038-LLMLM,0.94,High-risky
2053,6173-ITPWD,0.89,High-risky
2054,9734-UYXQI,0.98,High-risky
2055,1216-BGTSP,0.75,Risky
2056,4138-NAXED,0.32,Non-risky
2057,2189-UXTKY,0.45,Non-risky
2058,0744-BIKKF,0.01,Non-risky
2059,7483-IQWIB,0.82,High-risky
2060,5248-KWLAR,0.0,Non-risky
2061,4958-GZWIY,0.65,Risky
2062,7996-MHXLW,0.0,Non-risky
2063,7833-PKIHD,0.01,Non-risky
2064,7061-OVMIM,0.0,Non-risky
2065,5153-RTHKF,0.98,High-risky
2066,1852-QSWCD,0.0,Non-risky
2067,4832-VRBMR,0.64,Risky
2068,9079-LWTFD,0.38,Non-risky
2069,6356-ELRKD,0.99,High-risky
2070,8624-GIOUT,0.32,Non-risky
2071,3392-EHMNK,0.08,Non-risky
2072,5986-WWXDV,0.0,Non-risky
2073,3061-BCKYI,0.0,Non-risky
2074,6179-GJPSO,0.73,Risky
2075,7901-TBKJX,1.0,High-risky
2076,7228-PAQPD,0.31,Non-risky
2077,3177-LASXD,1.0,High-risky
2078,7746-QYVCO,0.08,Non-risky
2079,5804-HYIEZ,0.56,Risky
2080,9919-FZDED,0.0,Non-risky
2081,5934-TSSAU,0.77,Risky
2082,3486-KHMLI,0.01,Non-risky
2083,4897-QSUYC,1.0,High-risky
2084,1084-UQCHV,0.99,High-risky
2085,8290-YWKHZ,0.99,High-risky
2086,2955-BJZHG,0.98,High-risky
2087,3806-DXQOM,0.97,High-risky
2088,6784-XYJAE,0.03,Non-risky
2089,3933-DQPWX,0.05,Non-risky
2090,6661-EIPZC,0.18,Non-risky
2091,8957-THMOA,0.0,Non-risky
2092,2251-PYLPB,0.0,Non-risky
2093,5555-RNPGT,0.34,Non-risky
2094,1057-FOGLZ,0.0,Non-risky
2095,9300-RENDD,1.0,High-risky
2096,0761-AETCS,0.21,Non-risky
2097,8087-LGYHQ,1.0,High-risky
2098,4137-BTIKL,0.79,Risky
2099,2190-BCXEC,0.81,High-risky
2100,6227-FBDXH,0.33,Non-risky
2101,2153-MREFK,0.45,Non-risky
2102,2911-WDXMV,0.95,High-risky
2103,7206-PQBBZ,1.0,High-risky
2104,3106-ULWFW,1.0,High-risky
2105,0925-VYDLG,1.0,High-risky
2106,4547-FZJWE,0.06,Non-risky
2107,7422-WNBTY,0.89,High-risky
2108,0842-IWYCP,0.18,Non-risky
2109,3521-HTQTV,0.04,Non-risky
2110,3744-ZBHON,0.2,Non-risky
2111,3373-DIUUN,0.0,Non-risky
2112,8383-SGHJU,0.01,Non-risky
2113,7607-QKKTJ,0.03,Non-risky
2114,7707-PYBBH,0.08,Non-risky
2115,8984-HPEMB,0.01,Non-risky
2116,4349-GFQHK,0.99,High-risky
2117,4139-DETXS,0.0,Non-risky
2118,9779-DPNEJ,0.87,High-risky
2119,9805-FILKB,0.0,Non-risky
2120,5793-YOLJN,0.0,Non-risky
2121,0673-IGUQO,0.31,Non-risky
2122,4123-FCVCB,0.52,Risky
2123,8819-IMISP,0.97,High-risky
2124,7802-EFKNY,0.96,High-risky
2125,8311-UEUAB,0.01,Non-risky
2126,5858-EAFCZ,0.96,High-risky
2127,8035-BUYVG,0.74,Risky
2128,1163-ONYEY,0.4,Non-risky
2129,9787-XVQIU,1.0,High-risky
2130,8945-MUQUF,0.65,Risky
2131,5656-MJEFC,0.0,Non-risky
2132,6082-OQFBA,0.0,Non-risky
2133,8051-HJRLT,1.0,High-risky
2134,8974-OVACP,0.85,High-risky
2135,4010-YLMVT,0.7,Risky
2136,1379-FRVEB,0.99,High-risky
2137,8612-GXIDD,0.03,Non-risky
2138,6288-CHQJB,0.0,Non-risky
2139,8160-HOWOX,1.0,High-risky
2140,3023-GFLBR,0.89,High-risky
2141,6648-INWPS,0.0,Non-risky
2142,4223-BKEOR,0.0,Non-risky
2143,4079-VTGLK,0.19,Non-risky
2144,1763-WQFUK,0.44,Non-risky
2145,1391-UBDAR,0.98,High-risky
2146,8894-JVDCV,0.4,Non-risky
2147,2023-VQFDL,0.14,Non-risky
2148,1345-GKDZZ,0.0,Non-risky
2149,2014-MKGMH,0.75,Risky
2150,5628-FCGYG,0.92,High-risky
2151,2560-WBWXF,0.0,Non-risky
2152,0248-IPDFW,0.99,High-risky
2153,7978-DKUQH,0.86,High-risky
2154,4335-UPJSI,0.0,Non-risky
2155,0524-IAVZO,1.0,High-risky
2156,2737-YNGYW,1.0,High-risky
2157,1784-EZDKJ,0.81,High-risky
2158,9297-FVVDH,0.0,Non-risky
2159,8007-YYPWD,0.05,Non-risky
2160,7101-HRBLJ,0.0,Non-risky
2161,5159-YFPKQ,1.0,High-risky
2162,6635-CPNUN,0.91,High-risky
2163,4021-RQSNY,0.97,High-risky
2164,5453-YBTWV,0.0,Non-risky
2165,5039-LZRQT,0.0,Non-risky
2166,2931-VUVJN,0.04,Non-risky
2167,9061-TIHDA,0.99,High-risky
2168,8699-ASUFO,0.97,High-risky
2169,6418-PIQSP,0.0,Non-risky
2170,8220-OCUFY,0.02,Non-risky
2171,3995-WFCSM,0.95,High-risky
2172,1895-QTKDO,0.31,Non-risky
2173,2038-OEQZH,1.0,High-risky
2174,1178-PZGAB,0.0,Non-risky
2175,7927-AUXBZ,0.79,Risky
2176,2626-VEEWG,0.0,Non-risky
2177,2878-RMWXY,0.0,Non-risky
2178,1657-DYMBM,0.0,Non-risky
2179,7311-MQJCH,0.03,Non-risky
2180,7375-WMVMT,0.03,Non-risky
2181,1136-XGEQU,0.02,Non-risky
2182,2530-FMFXO,0.21,Non-risky
2183,6844-DZKRF,0.31,Non-risky
2184,4695-WJZUE,1.0,High-risky
2185,7619-ODSGN,0.86,High-risky
2186,5970-GHJAW,0.0,Non-risky
2187,8879-XUAHX,0.04,Non-risky
2188,3689-MOZGR,0.31,Non-risky
2189,4195-PNGZS,0.0,Non-risky
2190,5003-XZWWO,0.0,Non-risky
2191,3988-RQIXO,1.0,High-risky
2192,7622-FWGEW,0.0,Non-risky
2193,6922-NCEDI,0.0,Non-risky
2194,2514-GINMM,1.0,High-risky
2195,9891-NQDBD,0.0,Non-risky
2196,6131-IUNXN,0.0,Non-risky
2197,8548-AWOFC,0.04,Non-risky
2198,9798-DRYDS,0.23,Non-risky
2199,8532-UEFWH,0.0,Non-risky
2200,6296-DDOOR,0.06,Non-risky
2201,7951-VRDVK,0.31,Non-risky
2202,5931-FLJJF,0.99,High-risky
2203,4815-YOSUK,0.02,Non-risky
2204,2659-VXMWZ,0.2,Non-risky
2205,0380-NEAVX,0.6,Risky
2206,3207-OYBWH,0.61,Risky
2207,4285-GYRQC,1.0,High-risky
2208,7216-EWTRS,1.0,High-risky
2209,4365-MSDYN,0.15,Non-risky
2210,7036-TYDEC,0.28,Non-risky
2211,5802-ADBRC,0.53,Risky
2212,8076-FEZKJ,0.0,Non-risky
2213,5197-YPYBZ,0.0,Non-risky
2214,8337-MSSXB,1.0,High-risky
2215,4312-GVYNH,0.0,Non-risky
2216,8495-LJDFO,0.14,Non-risky
2217,0839-JTCUD,0.0,Non-risky
2218,5494-WOZRZ,0.0,Non-risky
2219,1302-UHBDD,0.8,High-risky
2220,2234-EOFPT,0.03,Non-risky
2221,8619-IJNDK,0.0,Non-risky
2222,8378-LKJAF,0.83,High-risky
2223,8182-BJDSI,1.0,High-risky
2224,2528-HFYZX,0.96,High-risky
2225,1153-GNOLC,0.15,Non-risky
2226,3298-QEICA,0.01,Non-risky
2227,0788-DXBFY,0.0,Non-risky
2228,3597-YASZG,0.03,Non-risky
2229,3496-LFSZU,0.98,High-risky
2230,5242-UOWHD,0.0,Non-risky
2231,2482-CZGBB,0.99,High-risky
2232,6479-SZPLM,0.0,Non-risky
2233,8097-VBQTZ,0.06,Non-risky
2234,4500-HKANN,0.12,Non-risky
2235,9917-KWRBE,0.07,Non-risky
2236,3420-ZDBMA,1.0,High-risky
2237,2212-LYASK,0.06,Non-risky
2238,1393-IMKZG,1.0,High-risky
2239,8069-RHUXK,0.0,Non-risky
2240,3398-GCPMU,0.0,Non-risky
2241,2908-WGAXL,0.0,Non-risky
2242,3378-AJRAO,0.01,Non-risky
2243,1013-QCWAM,0.89,High-risky
2244,0866-QLSIR,0.04,Non-risky
2245,6050-FFXES,0.03,Non-risky
2246,7181-BQYBV,0.97,High-risky
2247,0362-RAOQO,0.0,Non-risky
2248,9554-DFKIC,0.5,Risky
2249,5527-ACHSO,0.87,High-risky
2250,0829-DDVLK,0.0,Non-risky
2251,1399-UBQIU,0.97,High-risky
2252,1813-JLKWR,0.0,Non-risky
2253,0336-PIKEI,0.0,Non-risky
2254,7322-OCWHC,0.0,Non-risky
2255,9537-VHDTA,0.74,Risky
2256,4957-TIALW,0.1,Non-risky
2257,2054-PJOCK,0.06,Non-risky
2258,9150-HEPMB,0.05,Non-risky
2259,9030-QGZNL,0.0,Non-risky
2260,6204-IEUXJ,1.0,High-risky
2261,3126-WQMGH,0.17,Non-risky
2262,4529-CKBCL,1.0,High-risky
2263,2506-CLAKW,0.98,High-risky
2264,7176-WRTNX,0.09,Non-risky
2265,1583-IHQZE,0.83,High-risky
2266,5732-IKGQH,0.51,Risky
2267,9239-GZHZE,0.0,Non-risky
2268,7205-BAIAD,0.0,Non-risky
2269,0151-ONTOV,1.0,High-risky
2270,4140-MUHUG,1.0,High-risky
2271,0093-EXYQL,0.76,Risky
2272,8064-RAVOH,0.99,High-risky
2273,0219-QAERP,0.0,Non-risky
2274,0320-JDNQG,0.37,Non-risky
2275,7180-PISOG,1.0,High-risky
2276,9168-INPSZ,0.93,High-risky
2277,3571-RFHAR,0.95,High-risky
2278,0015-UOCOJ,0.91,High-risky
2279,5334-AFQJB,0.0,Non-risky
2280,2754-SDJRD,0.97,High-risky
2281,9578-VRMNM,0.94,High-risky
2282,1587-FKLZB,0.92,High-risky
2283,6140-QNRQQ,1.0,High-risky
2284,8963-JLGJT,0.71,Risky
2285,4307-KTUMW,0.67,Risky
2286,1465-LNTLJ,0.76,Risky
2287,5440-FLBQG,0.32,Non-risky
2288,2135-DQWAQ,0.97,High-risky
2289,4056-QHXHZ,0.01,Non-risky
2290,7470-MCQTK,0.94,High-risky
2291,7488-MXJIV,1.0,High-risky
2292,7401-JIXNM,0.0,Non-risky
2293,9339-FIIJL,0.0,Non-risky
2294,2027-FECZV,0.99,High-risky
2295,2672-DZUOY,0.96,High-risky
2296,4706-DGAHW,0.99,High-risky
2297,3870-MQAMG,0.46,Non-risky
2298,6670-MFRPK,0.02,Non-risky
2299,6177-PEVRA,0.04,Non-risky
2300,4800-CZMPC,0.52,Risky
2301,4813-HQMGZ,0.96,High-risky
2302,7579-KKLOE,0.0,Non-risky
2303,7377-DMMRI,1.0,High-risky
2304,8402-EIVQS,0.07,Non-risky
2305,4947-DSMXK,0.23,Non-risky
2306,7245-NIIWQ,1.0,High-risky
2307,0002-ORFBO,0.37,Non-risky
2308,3324-OIRTO,0.03,Non-risky
2309,5414-OFQCB,0.12,Non-risky
2310,4967-WPNCF,0.0,Non-risky
2311,8552-OBVRU,0.17,Non-risky
2312,8499-BRXTD,0.0,Non-risky
2313,9154-QDGTH,0.58,Risky
2314,8197-BFWVU,0.0,Non-risky
2315,2577-GVSIL,0.18,Non-risky
2316,9367-OIUXP,0.04,Non-risky
2317,6770-UAYGJ,0.0,Non-risky
2318,6463-HHXJR,0.02,Non-risky
2319,7928-VJYAB,1.0,High-risky
2320,1187-WILMM,0.0,Non-risky
2321,9776-OJUZI,0.28,Non-risky
2322,1306-RPWXZ,0.0,Non-risky
2323,8949-JTMAY,1.0,High-risky
2324,2774-LVQUS,0.95,High-risky
2325,3097-PYWXL,0.48,Non-risky
2326,2266-SJNAT,0.52,Risky
2327,0869-PAPRP,0.22,Non-risky
2328,4238-JSSWH,0.91,High-risky
2329,2972-YDYUW,0.35,Non-risky
2330,1104-FEJAM,0.39,Non-risky
2331,2809-ILCYT,0.01,Non-risky
2332,5499-ECUTN,0.04,Non-risky
2333,4981-FLTMF,0.06,Non-risky
2334,9121-PHQSR,0.97,High-risky
2335,3113-IWHLC,0.67,Risky
2336,3211-ILJTT,0.92,High-risky
2337,4612-THJBS,0.96,High-risky
2338,4277-BWBML,0.0,Non-risky
2339,4094-NSEDU,0.99,High-risky
2340,0234-TEVTT,0.13,Non-risky
2341,4304-TSPVK,0.09,Non-risky
2342,1552-AAGRX,0.77,Risky
2343,2637-FKFSY,0.89,High-risky
2344,9796-MVYXX,0.14,Non-risky
2345,7874-ECPQJ,0.46,Non-risky
2346,0020-INWCK,0.0,Non-risky
2347,7089-RKVSZ,0.0,Non-risky
2348,2683-JXWQQ,0.1,Non-risky
2349,9548-ZMVTX,0.06,Non-risky
2350,8739-XNIKG,1.0,High-risky
2351,9755-JHNMN,0.08,Non-risky
2352,3981-QSVQI,0.22,Non-risky
2353,2789-HQBOU,1.0,High-risky
2354,9424-CMPOG,0.0,Non-risky
2355,5067-WJEUN,0.0,Non-risky
2356,3450-WXOAT,0.06,Non-risky
2357,9251-WNSOD,0.09,Non-risky
2358,6974-DAFLI,0.0,Non-risky
2359,2616-UUTFK,0.51,Risky
2360,7064-JHXCE,0.0,Non-risky
2361,5103-MHMHY,0.73,Risky
2362,7989-AWGEH,0.31,Non-risky
2363,4373-VVHQL,1.0,High-risky
2364,4559-UWIHT,0.99,High-risky
2365,7268-IGMFD,0.19,Non-risky
2366,1846-XWOQN,1.0,High-risky
2367,0235-KGSLC,1.0,High-risky
2368,6650-BWFRT,0.0,Non-risky
2369,9570-KYEUA,0.07,Non-risky
2370,6993-YGFJV,0.18,Non-risky
2371,2712-SYWAY,0.48,Non-risky
2372,0730-BGQGF,0.0,Non-risky
2373,5498-IBWPI,0.03,Non-risky
2374,9101-NTIXF,0.04,Non-risky
2375,0013-SMEOE,0.02,Non-risky
2376,9314-QDMDW,0.12,Non-risky
2377,9308-ANMVE,0.5,Risky
2378,2884-GBPFB,0.98,High-risky
2379,3757-NJYBX,0.69,Risky
2380,3413-DHLPB,0.39,Non-risky
2381,7649-PHJVR,0.0,Non-risky
2382,6114-TCFID,0.01,Non-risky
2383,3787-TRIAL,0.65,Risky
2384,2573-GYRUU,0.82,High-risky
2385,5156-UMKOW,0.82,High-risky
2386,1247-QBVSH,0.09,Non-risky
2387,6734-GMPVK,0.99,High-risky
2388,9822-OAOVB,1.0,High-risky
2389,6161-ERDGD,0.05,Non-risky
2390,1226-JZNKR,0.01,Non-risky
2391,7318-EIVKO,0.81,High-risky
2392,3771-PZOBW,0.96,High-risky
2393,5136-KCKGI,0.43,Non-risky
2394,8231-BSWXX,0.12,Non-risky
2395,6486-LHTMA,0.64,Risky
2396,4083-BFNYK,0.22,Non-risky
2397,3722-WPXTK,1.0,High-risky
2398,7389-KBFIT,0.86,High-risky
2399,7176-WIONM,0.93,High-risky
2400,5141-ZUVBH,0.83,High-risky
2401,1089-HDMKP,0.28,Non-risky
2402,7623-HKYRK,0.0,Non-risky
2403,0310-SUCIN,0.08,Non-risky
2404,5197-PYEPU,0.18,Non-risky
2405,2929-ERCFZ,0.98,High-risky
2406,7548-SEPYI,1.0,High-risky
2407,8835-VSDSE,1.0,High-risky
2408,6619-RPLQZ,0.0,Non-risky
2409,3275-RHRNE,0.08,Non-risky
2410,3503-TYDAY,0.35,Non-risky
2411,6901-GOGZG,0.0,Non-risky
2412,1623-NLDOT,0.1,Non-risky
2413,7021-XSNYE,0.0,Non-risky
2414,9621-OUPYD,0.0,Non-risky
2415,9898-KZQDZ,0.94,High-risky
2416,8982-NHAVY,0.57,Risky
2417,4307-KWMXE,0.4,Non-risky
2418,0141-YEAYS,0.92,High-risky
2419,2450-ZKEED,0.31,Non-risky
2420,3694-DELSO,0.77,Risky
2421,3893-JRNFS,0.12,Non-risky
2422,9603-OAIHC,1.0,High-risky
2423,1133-KXCGE,0.0,Non-risky
2424,5236-PERKL,0.95,High-risky
2425,0142-GVYSN,0.01,Non-risky
2426,1049-FYSYG,0.8,High-risky
2427,7854-FOKSF,1.0,High-risky
2428,2519-FAKOD,0.74,Risky
2429,8406-LNMHF,0.15,Non-risky
2430,1821-BUCWY,0.01,Non-risky
2431,8263-JQAIK,0.87,High-risky
2432,0023-UYUPN,0.0,Non-risky
2433,8314-DPQHL,0.2,Non-risky
